name,alpha2,alpha3,bibliographic
Arabic,ar,ara,
Bosnian,bs,bos,
Bulgarian,bg,bul,
Cantonese,,,
Croatian,hr,hrv,
Czech,cs,ces,cze
Danish,da,dan,
Dutch,nl,nld,dut
English,en,eng,
Estonian,et,est,
Farsi,fa,fas,per
Filipino,,fil,
Finnish,fi,fin,
Flemish,nl,nld,dut
French,fr,fra,fre
German,de,deu,ger
Greek,el,ell,gre
Hebrew,he,heb,
Hindi,hi,hin,
Hungarian,hu,hun,
Icelandic,is,isl,ice
Indonesian,id,ind,
Italian,it,ita,
Japanese,ja,jpn,
Korean,ko,kor,
Latvian,lv,lav,
Lithuanian,lt,lit,
Mandarin,zh,zho,chi
Mandingo,,man,
Norwegian,no,nor,
Polish,pl,pol,
Portuguese,pt,por,
Punjabi,pa,pan,
Romanian,ro,ron,rum
Russian,ru,rus,
Serbian,sr,srp,
Slovenian,sl,slv,
Somali,so,som,
Spanish,es,spa,
Swahili,sw,swa,
Swedish,sv,swe,
Thai,th,tha,
Tigre,,tig,
Tigrinya,ti,tir,
Turkish,tr,tur,
Ukrainian,uk,ukr,
Urdu,ur,urd,
Vietnamese,vi,vie,
Zulu,zu,zul,